03dd64d0-5626-4ecd-8ece-4531e0069f35	Dewey Decimal classification	Dewey Decimal classification
512173a7-bd09-490e-b773-17d83f2b63fe	LC Modified	LC Modified
95467209-6d7b-468b-94df-0f5d7ad2747d	Library of Congress classification	Library of Congress classification
828ae637-dfa3-4265-a1af-5279c436edff	MOYS	MOYS
054d460d-d6b9-4469-9e37-7a78a2266655	National Library of Medicine classification	National Library of Medicine classification
6caca63e-5651-4db6-9247-3205156e9699	Other scheme	Other scheme
cd70562c-dd0b-42f6-aa80-ce803d24d4a1	Shelved separately	Shelved separately
28927d76-e097-4f63-8510-e56f2b7a3ad0	Shelving control number	Shelving control number
827a2b64-cbf5-4296-8545-130876e4dfc0	Source specified in subfield $2	Source specified in subfield $2
fc388041-6cd0-4806-8a74-ebe3b9ab4c6e	Superintendent of Documents classification	Superintendent of Documents classification
5ba6b62e-6858-490a-8102-5b1369873835	Title	Title
d644be8f-deb5-4c4d-8c9e-2291b7c0f46f	UDC	UDC
