42dac21e-3c81-4cb1-9f16-9e50c81bacc4	Continuing resource ceased publication	fortlaufende Veröffentlichung (Erscheinen eingestellt)
0750f52b-3bfc-458d-9307-e9afc8bcdffa	Continuing resource currently published	fortlaufende Veröffentlichung (erscheint weiter laufend)
5a1a1adb-de71-45e6-ba94-1c0838969f04	Continuing resource status unknown	fortlaufende Ressource unbekannten Status
5f84208a-0aa6-4694-a58f-5310b654f012	Date of distribution/release/issue and production/recording session when different	Datum des Vertriebs, des Releases, der Ausgabe, der Produktion, soweit unterschiedlich
e77bb7ed-2e53-4c62-8b06-5907b8934ba7	Dates unknown	unbekanntes Datum
9669a463-5971-42dc-9eee-046bbd678fb1	Detailed date	detailliertes Datum
6de732c5-c29b-4a10-9db0-0729ca960f12	Inclusive dates of collection	eingeschlossene Datumsangaben der Sammlung
8fa6d067-41ff-4362-96a0-96b16ddce267	Multiple dates	verschiedene Datumsangaben
6f8cd9a8-26ac-4df6-8709-62fe2c0d04f8	No attempt to code	kein Codierungsversuch
77a09c3c-37bd-4ad3-aae4-9d86fc1b33d8	No dates given; B.C. date involved	kein Datum ermittelbar
3a4296bf-504b-451b-9355-5806f8d88253	Publication date and copyright date	Publikationsdatum, Copyright-Datum
4afa7d3d-e6f5-4134-9ab5-32ad377d2432	Questionable date	fragliches Datum
ccc293d5-9e88-4222-ac04-d058351ddb7b	Range of years of bulk of collection	zeitlicher Rahmen der Sammlung
47622598-61eb-4348-899a-1208275c3882	Reprint/reissue date and original date	Datum des Reprints, des Originals
24a506e8-2a92-4ecc-bd09-ff849321fd5a	Single known date/probable date	einziges bekanntes Datum, wahrscheinliches Datum
